	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	PLATFORM	CHEMICAL ID	RI	MASS	CAS	PUBCHEM	KEGG	                                      Group HMDB
17	(15:2)-anacardic acid	Xenobiotics	Food Component/Plant	LC/MS Neg	100003472	5565	343.2279	11034-77-8	11824131		HMDB33896
18	(N(1) + N(8))-acetylspermidine	Amino Acid	Polyamine Metabolism	LC/MS Pos Early	100016038	3080	188.1757		.		
19	(R)-salsolinol	Amino Acid	Tyrosine Metabolism	LC/MS Pos Early	100002814	2525	180.1019	70681-20-8	54456	C09642	HMDB05199
20	1-(1-enyl-oleoyl)-GPE (P-18:1)*	Lipid	Lysoplasmalogen	LC/MS Pos Late	100005372	1566	464.3136		.		
21	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	Lipid	Lysoplasmalogen	LC/MS Pos Late	100003000	1558	438.2979		.		
22	1-(1-enyl-stearoyl)-GPE (P-18:0)*	Lipid	Lysoplasmalogen	LC/MS Pos Late	100003001	1649	466.3292		.		
23	1,2-dilinolenoyl-digalactosylglycerol (18:3/18:3)	Xenobiotics	Food Component/Plant	LC/MS Pos Late	100009392	1941	954.6149		.		
24	1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*	Lipid	Glycolipid Metabolism	LC/MS Pos Late	100010877	2046	792.562		5282287	C13871	
25	1,2-dilinoleoyl-digalactosylglycerol (18:2/18:2)*	Lipid	Glycolipid Metabolism	LC/MS Pos Late	100010873	2256	958.6462		.		
26	1,2-dilinoleoyl-galactosylglycerol (18:2/18:2)*	Lipid	Glycolipid Metabolism	LC/MS Pos Late	100010879	2415	796.5933		6535011		
27	1,2-dilinoleoyl-GPC (18:2/18:2)	Lipid	Phosphatidylcholine (PC)	LC/MS Pos Late	100008903	2006	782.5694	998-06-1	5288075		HMDB08138
28	1,2-dipalmitoyl-GPC (16:0/16:0)	Lipid	Phosphatidylcholine (PC)	LC/MS Pos Late	100000657	2365	734.5694	63-89-8	452110		HMDB00564
29	1,2-dipalmitoyl-GPE (16:0/16:0)*	Lipid	Phosphatidylethanolamine (PE)	LC/MS Pos Late	100009204	2498	692.5225		445468		HMDB08923
30	1,3,7-trimethylurate	Xenobiotics	Xanthine Metabolism	LC/MS Neg	100001397	1985	209.068	5415-44-1	79437	C16361	HMDB02123
31	1,3-dimethylurate	Xenobiotics	Xanthine Metabolism	LC/MS Neg	100001106	1671.4	195.0524	944-73-0	70346		HMDB01857
32	1,7-dimethylurate	Xenobiotics	Xanthine Metabolism	LC/MS Neg	100001399	1578.6	195.0524	33868-03-0	91611	C16356	HMDB11103
33	10-heptadecenoate (17:1n7)	Lipid	Long Chain Fatty Acid	LC/MS Neg	100001278	5555	267.233	29743-97-3	5312435		HMDB60038
34	10-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100005852	5370	299.2592		9561835		HMDB37396
35	10-nonadecenoate (19:1n9)	Lipid	Long Chain Fatty Acid	LC/MS Neg	100001277	5780	295.2643	73033-09-7	5312513		HMDB13622
36	11-ketoetiocholanolone sulfate	Lipid	Androgenic Steroids	LC/MS Neg	100002125	4420	383.1534		.		
37	12,13-DiHOME	Lipid	Fatty Acid, Dihydroxy	LC/MS Neg	62	5137	313.2384	263399-35-5	10236635	C14829	HMDB04705
38	12-dehydrocholate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100001072	4871	405.2646	2458-08-4;2458-08-4	94235		HMDB00400
39	13-HODE + 9-HODE	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100002196	5275	295.2283		43013		
40	13-methylmyristate (i15:0)	Lipid	Fatty Acid, Branched	LC/MS Neg	100002344	5499	241.2173	2485-71-4	151014		
41	15-methylpalmitate (i17:0)	Lipid	Fatty Acid, Branched	LC/MS Neg	100002945	5695	269.2487		17903417		
42	16a-hydroxy DHEA 3-sulfate	Lipid	Androgenic Steroids	LC/MS Neg	100002126	4240	383.1534		.		
43	17alpha-hydroxypregnenolone 3-sulfate	Lipid	Pregnenolone Steroids	LC/MS Neg	100002128	4800	411.1847	28901-70-4	152971		HMDB00416
44	17-methylstearate (i19:0)	Lipid	Fatty Acid, Branched	LC/MS Neg	100002356	5993	297.2799	2724-59-6	3083779		HMDB37397
45	1-linolenoylglycerol (18:3)	Lipid	Monoacylglycerol	LC/MS Neg	100001435	6214	277.2173	124151-74-2	53480978		HMDB11569
46	1-linoleoyl-2-linolenoyl-digalactosylglycerol (18:2/18:3)*	Lipid	Glycolipid Metabolism	LC/MS Pos Late	100010872	2073	956.6305		.		
47	1-linoleoyl-2-linolenoyl-galactosylglycerol (18:2/18:3)*	Lipid	Glycolipid Metabolism	LC/MS Pos Late	100010878	2209	794.5777		.		
48	1-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	LC/MS Neg	100001040	6477	279.2329	2277-28-3	5283469		
49	1-linoleoyl-GPC (18:2)	Lipid	Lysophospholipid	LC/MS Pos Late	100001395	1465	520.3398		11988421	C04100	HMDB10386
50	1-linoleoyl-GPE (18:2)*	Lipid	Lysophospholipid	LC/MS Pos Late	100001570	1482	478.2928		52925130		HMDB11507
51	1-linoleoyl-GPG (18:2)*	Lipid	Lysophospholipid	LC/MS Neg	100009227	5516	507.2728		.		
52	1-linoleoyl-GPI (18:2)*	Lipid	Lysophospholipid	LC/MS Neg	100001778	5494	595.2889		.		
53	1-margaroylglycerol (17:0)	Lipid	Monoacylglycerol	LC/MS Neg	100001429	6571	269.2486	68002-72-2	107036		
54	1-methyl-4-imidazoleacetate	Amino Acid	Histidine Metabolism	LC/MS Pos Early	100001208	2064	141.0659	2625-49-2	75810	C05828	HMDB02820
55	1-methyladenine	Nucleotide	Purine Metabolism, Adenine containing	LC/MS Pos Early	54	2133	150.0774	5142-22-3	78821	C02216	HMDB11599
56	1-methyl-beta-carboline-3-carboxylic acid	Xenobiotics	Food Component/Plant	LC/MS Neg	100004434	3190	225.067	22329-38-0	5406157		
57	1-methylguanidine	Amino Acid	Guanidino and Acetamido Metabolism	LC/MS Pos Early	100000715	2149	74.0713	22661-87-6	10111	C02294	HMDB01522
58	1-methylhistamine	Amino Acid	Histidine Metabolism	LC/MS Pos Early	100001204	3040	126.1026	501-75-7	3614	C05127	HMDB00898
59	1-methylnicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	LC/MS Pos Early	55	1940	137.0709	1005-24-9	10129985	C02918	HMDB00699
60	1-methylurate	Xenobiotics	Xanthine Metabolism	LC/MS Pos Early	100001400	1461	183.0513	708-79-2	69726	C16359	HMDB03099
61	1-methylxanthine	Xenobiotics	Xanthine Metabolism	LC/MS Neg	100001405	1568.8	165.0418	6136-37-4	80220	C16358	HMDB10738
62	1-myristoylglycerol (14:0)	Lipid	Monoacylglycerol	LC/MS Neg	100001618	6353.3	227.2016	75685-84-6	79050	C01885	HMDB11561
63	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*	Lipid	Phosphatidylcholine (PC)	LC/MS Pos Late	100008981	2165	784.5851		.		
64	1-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	LC/MS Neg	100000924	6650	281.2486	111-03-5	5283468		HMDB11567
65	1-oleoyl-GPC (18:1)	Lipid	Lysophospholipid	LC/MS Pos Late	100001272	1540	522.3554	19420-56-5	16081932		HMDB02815
66	1-oleoyl-GPE (18:1)	Lipid	Lysophospholipid	LC/MS Pos Late	100001569	1554	480.3085	89576-29-4	9547071		HMDB11506
67	1-oleoyl-GPG (18:1)*	Lipid	Lysophospholipid	LC/MS Neg	100005716	5610	509.2885		.		
68	1-oleoyl-GPI (18:1)*	Lipid	Lysophospholipid	LC/MS Neg	100001777	5599	597.3045		.		
69	1-palmitoleoylglycerol (16:1)*	Lipid	Monoacylglycerol	LC/MS Neg	100008952	6094	253.2173		.		HMDB11565
70	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	Lipid	Phosphatidylcholine (PC)	LC/MS Pos Late	100008914	2091	782.5694	35418-58-7	10747814		HMDB07982
71	1-palmitoyl-2-linolenoyl-digalactosylglycerol (16:0/18:3)	Xenobiotics	Food Component/Plant	LC/MS Pos Late	100010875	2278	932.6305		.		
72	1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*	Lipid	Glycolipid Metabolism	LC/MS Pos Late	100010874	2498	934.6462		.		
73	1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*	Lipid	Glycolipid Metabolism	LC/MS Pos Late	100010893	2731	772.5933		.		
74	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	Lipid	Phosphatidylcholine (PC)	LC/MS Pos Late	1537	2160	758.5694	40811-94-7	5287971		HMDB07973
75	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	Lipid	Phosphatidylethanolamine (PE)	LC/MS Pos Late	100001870	2275	716.5225		9546747		HMDB05322
76	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	Lipid	Phosphatidylcholine (PC)	LC/MS Pos Late	1539	2358	760.5851	26853-31-6;26853-31-6	6436017		HMDB07972
77	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	Lipid	Phosphatidylethanolamine (PE)	LC/MS Pos Late	1526	2509	718.5381	26662-94-2	5283496		HMDB05320
78	1-palmitoylglycerol (16:0)	Lipid	Monoacylglycerol	LC/MS Neg	100000827	6550	255.2329	542-44-9	14900		HMDB31074
79	1-palmitoyl-GPC (16:0)	Lipid	Lysophospholipid	LC/MS Pos Late	100001263	1525	496.3398	17364-16-8	86554		HMDB10382
80	1-palmitoyl-GPE (16:0)	Lipid	Lysophospholipid	LC/MS Pos Late	100001567	1544	454.2928	53862-35-4	9547069		HMDB11503
81	1-palmitoyl-GPG (16:0)*	Lipid	Lysophospholipid	LC/MS Neg	100005717	5570	483.2728		3300276		
82	1-palmitoyl-GPI (16:0)	Lipid	Lysophospholipid	LC/MS Neg	100001655	5564	571.2889		.		HMDB61695
83	1-palmitoyl-GPS (16:0)*	Lipid	Lysophospholipid	LC/MS Neg	100005805	5572	496.2681		9547100		
84	1-pentadecanoylglycerol (15:0)	Lipid	Monoacylglycerol	LC/MS Neg	100001431	6200	241.2173	104140-07-0	190750		
85	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	Lipid	Phosphatidylcholine (PC)	LC/MS Pos Late	100008904	2644	788.6164	56421-10-4	.		HMDB08038
86	1-stearoyl-GPA (18:0)	Lipid	Lysophospholipid	LC/MS Neg	100001670	5829	437.2674	325465-92-7;799268-65-8	89567		
