	BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	PLATFORM	CHEMICAL_ID	RI	MASS	CAS	PUBCHEM	KEGG	                                      Group HMDB
25	(N(1) + N(8))-acetylspermidine	Amino Acid	Polyamine Metabolism	LC/MS Pos Early	100016038	3080	188.1757		.		
26	1,2,3-benzenetriol sulfate (2)	Xenobiotics	Chemical	LC/MS Neg	100006374	1709	204.9812		.		
27	1,5-anhydroglucitol (1,5-AG)	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	LC/MS Neg	100000580	802	163.0612	154-58-5	64960	C07326	HMDB02712
28	12,13-DiHOME	Lipid	Fatty Acid, Dihydroxy	LC/MS Neg	62	5137	313.2384	263399-35-5	10236635	C14829	HMDB04705
29	12-HETE	Lipid	Eicosanoid	LC/MS Neg	100002167	5326	319.2279	71030-37-0;73837-14-6	5312983		HMDB06111
30	13-HODE + 9-HODE	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100002196	5275	295.2283		43013		
31	16a-hydroxy DHEA 3-sulfate	Lipid	Androgenic Steroids	LC/MS Neg	100002126	4240	383.1534		.		
32	16-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100002953	5236.2	271.2279	506-13-8	10466	C18218	HMDB06294
33	1H-indole-7-acetic acid	Xenobiotics	Bacterial/Fungal	LC/MS Neg	100004601	2862	174.0561	39689-63-9	.		
34	1-hydroxy-2-naphthalenecarboxylate	Xenobiotics	Drug - Other	LC/MS Neg	100002394	3930	187.0401	86-48-6	6844	C03203	
35	1-linolenoylglycerol (18:3)	Lipid	Monoacylglycerol	LC/MS Neg	100001435	6214	277.2173	124151-74-2	53480978		HMDB11569
36	1-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	LC/MS Neg	100001040	6477	279.2329	2277-28-3	5283469		
37	1-methyl-4-imidazoleacetate	Amino Acid	Histidine Metabolism	LC/MS Pos Early	100001208	2064	141.0659	2625-49-2	75810	C05828	HMDB02820
38	N1-methyladenosine	Nucleotide	Purine Metabolism, Adenine containing	LC/MS Pos Early	1242	2120	282.1197	15763-06-1	27476	C02494	HMDB03331
39	1-methylhistidine	Amino Acid	Histidine Metabolism	LC/MS Pos Early	100001051	2755	170.0924	332-80-9	92105	C01152	HMDB00001
40	1-methylnicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	LC/MS Pos Early	55	1940	137.0709	1005-24-9	10129985	C02918	HMDB00699
41	1-methylxanthine	Xenobiotics	Xanthine Metabolism	LC/MS Neg	100001405	1568.8	165.0418	6136-37-4	80220	C16358	HMDB10738
