"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"1 2-Propanediol","NA","NA","NA","NA","NA","NA","NA","0"
"meso 2 3-Butanediol","NA","NA","NA","NA","NA","NA","NA","0"
"Pyruvic acid","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(=O)O","1"
"Lactic acid","L-Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"2-Hydroxyisobutyric acid","Alpha-Hydroxyisobutyric acid","HMDB0000729","11671","50129",NA,"3750","CC(C)(O)C(=O)O","1"
"Glycolic acid","Glycolic acid","HMDB0000115","757","17497","C03547","3219","OCC(O)=O","1"
"Alanine","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"Glycine","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"Oxalic acid","Oxalic acid","HMDB0002329","971","16995","C00209","113","OC(=O)C(O)=O","1"
"Carbonic acid","Carbonic acid","HMDB0003538","769","28976","C01353","6944","C(=O)(O)O","1"
"p-Cresol","p-Cresol","HMDB0001858","2879","17847","C01468","4236","CC1=CC=C(O)C=C1","1"
"3-Hydroxybutyric acid","3-Hydroxybutyric acid","HMDB0000357","441","20067","C01089","125","CC(O)CC(O)=O","1"
"2-Aminobutyric","NA","NA","NA","NA","NA","NA","NA","0"
"Allylthioacetic acid","NA","NA","NA","NA","NA","NA","NA","0"
"3-Aminoisobutyric acid","3-Aminoisobutanoic acid","HMDB0003911","64956","27389","C05145","5472","CC(CN)C(=O)O","1"
"Valine","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"2-Ethyl-3-hydroxypropionic acid","2-Ethylhydracrylic acid","HMDB0000396","188979","741550",NA,"3785","CCC(CO)C(=O)O","1"
"Serine","Serine","HMDB0062263","5951","17822","C00716","5203","N[C@@H](CO)C(O)=O","1"
"Ethanolamine","Ethanolamine","HMDB0000149","700","16000","C00189","3207","NCCO","1"
"Leucine","L-Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"Glycerol","Glycerol","HMDB0000131","753","17754","C00116","105","OCC(O)CO","1"
"Isoleucine","L-Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@@H](C(=O)O)N","1"
"Proline","L-Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"Succinic acid","Succinic acid","HMDB0000254","1110","15741","C00042","114","O=C(O)CCC(=O)O","1"
"Glyceric acid","Glyceric acid","HMDB0000139","439194","32398","C00258","280","OC[C@@H](O)C(O)=O","1"
"Uracil","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"4-Deoxythreonic acid","4-Deoxythreonic acid","HMDB0002453","10964471","86391",NA,"6686","C[C@@H](O)[C@H](O)C(O)=O","1"
"4-Deoxyerythronic","NA","NA","NA","NA","NA","NA","NA","0"
"Threonine","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"2 4-Dihydroxybutyric acid","NA","NA","NA","NA","NA","NA","NA","0"
"34-Dihydroxybutyric","NA","NA","NA","NA","NA","NA","NA","0"
"3-Methylglutaconic acid","3-Methylglutaconic acid","HMDB0000522","1551553","37245",NA,"5507","C/C(=C\C(=O)O)/CC(=O)O","1"
"Aminomalonic acid","Aminomalonic acid","HMDB0001147","100714","17475","C00872",NA,"NC(C(O)=O)C(O)=O","1"
"Adipic acid","Adipic acid","HMDB0000448","196","30832","C06104","115","C(CCC(=O)O)CC(=O)O","1"
"Threitol","Threitol","HMDB0094689","222285","48300","C16884","140","OC[C@@H](O)[C@H](O)CO","1"
"Erythritol","Erythritol","HMDB0002994","222285","17113","C00503","140","OC[C@H](O)[C@H](O)CO","1"
"Pyroglutamic acid","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"4-Hydroxyproline","4-Hydroxyproline","HMDB0000725","5810","18095","C01157","257","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"Creatinine","Creatinine","HMDB0000562","588","16737","C00791","8","CN1CC(=O)NC1=N","1"
"Phenylalanine","L-Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"1-Deoxypentitol","NA","NA","NA","NA","NA","NA","NA","0"
"Erythronic acid","Erythronic acid","HMDB0000613","2781043","37655",NA,"5586","OC[C@@H](O)[C@@H](O)C(O)=O","1"
"Cysteine","L-Cysteine","HMDB0000574","5862","17561","C00097","5556","N[C@@H](CS)C(O)=O","1"
"Threonic acid","Threonic acid","HMDB0000943","151152","49059","C01620","5891","C([C@H]([C@@H](C(=O)O)O)O)O","1"
"2-Ketoglutaric acid","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"3-Hydroxy-3-methylglutaric acid","3-Hydroxymethylglutaric acid","HMDB0000355","1662","16831","C03761","5344","CC(CC(=O)O)(CC(=O)O)O","1"
"Glutamic acid","L-Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"3-Deoxypentitol","NA","NA","NA","NA","NA","NA","NA","0"
"4-Hydroxyphenylacetic acid","p-Hydroxyphenylacetic acid","HMDB0000020","127","18101","C00642","130","OC(=O)CC1=CC=C(O)C=C1","1"
"3 4 5-Trihydroxypentanoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"Xylose","D-Xylose","HMDB0000098","135191","53455","C00181","314","O[C@@H]1COC(O)[C@H](O)[C@H]1O","1"
"3-Deoxy-2 4 5-trihydroxypentonic acid","NA","NA","NA","NA","NA","NA","NA","0"
"Asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"Lyxose","Pectin","HMDB0003402","441476","47954","C08348","6916","O[C@@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O","1"
"Ribose","D-Ribose","HMDB0000283","5779","47013","C00121","313","OC[C@H]1OC(O)[C@H](O)[C@@H]1O","1"
"2-Aminoadipic acid","Aminoadipic acid","HMDB0000510","469","37024","C00956","5496","NC(CCCC(=O)O)C(=O)O","1"
"Xylitol","Xylitol","HMDB0002917","6912","17151","C00379",NA,"OC[C@H](O)[C@@H](O)[C@H](O)CO","1"
"Quinolinic acid","Quinolinic acid","HMDB0000232","1066","16675","C03722","330","OC(=O)C1=CC=CN=C1C(O)=O","1"
"Arabitol","D-Arabitol","HMDB0000568","94154","18333","C01904","5551","OC[C@@H](O)C(O)[C@H](O)CO","1"
"Ribitol","Ribitol","HMDB0000508",NA,"15963","C00474","316","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"Fucose","Fucose","HMDB0012327","439804","90759","C02781",NA,"OC[C@H]1OC(O)C[C@@H](O)[C@H]1O","1"
"Indenone","NA","NA","NA","NA","NA","NA","NA","0"
"cis-Aconitic acid","cis-Aconitic acid","HMDB0000072","643757","32805","C00417","5130","OC(=O)C\C(=C\C(O)=O)C(O)=O","1"
"Homovanillic acid","Homovanillic acid","HMDB0000118","1738","545959","C05582","971","COC1=CC(CC(O)=O)=CC=C1O","1"
"Glycerol-3-P","NA","NA","NA","NA","NA","NA","NA","0"
